year,zip_code,household_income
2011,11201,91764
2011,11203,48797
2011,11204,44312
2011,11205,42760
2011,11206,28114
2011,11207,33127
2011,11208,35437
2011,11209,57082
2011,11210,52895
2011,11211,42610
2011,11212,27278
2011,11213,34046
2011,11214,39822
2011,11215,88450
2011,11216,40174
2011,11217,74518
2011,11218,50938
2011,11219,34804
2011,11220,37822
2011,11221,36577
2011,11222,60610
2011,11223,40626
2011,11224,31822
2011,11225,40295
2011,11226,39481
2011,11228,59624
2011,11229,48683
2011,11230,43147
2011,11231,71895
2011,11232,38353
2011,11233,34633
2011,11234,67776
2011,11235,42492
2011,11236,61794
2011,11237,37648
2011,11238,61950
2011,11239,23941
2011,78610,82702
2011,78613,81819
2011,78617,44334
2011,78641,67683
2011,78652,79107
2011,78653,55073
2011,78660,72137
2011,78664,62283
2011,78681,89900
2011,78701,63484
2011,78702,35350
2011,78703,85379
2011,78704,47336
2011,78705,11910
2011,78712,
2011,78717,94112
2011,78719,39794
2011,78721,30591
2011,78722,44798
2011,78723,41839
2011,78724,37736
2011,78725,53131
2011,78726,66224
2011,78727,63952
2011,78728,46870
2011,78729,61165
2011,78730,121765
2011,78731,80192
2011,78732,125171
2011,78733,119516
2011,78734,85233
2011,78735,74857
2011,78736,85826
2011,78737,115714
2011,78738,121522
2011,78739,132552
2011,78741,30021
2011,78742,21071
2011,78744,39652
2011,78745,48029
2011,78746,129188
2011,78747,56357
2011,78748,66661
2011,78749,79712
2011,78750,79685
2011,78751,37521
2011,78752,33173
2011,78753,40463
2011,78754,54087
2011,78756,59745
2011,78757,54205
2011,78758,42194
2011,78759,65851
2011,94102,22159
2011,94103,42801
2011,94104,25568
2011,94105,120257
2011,94107,113974
2011,94108,33191
2011,94109,58106
2011,94110,76963
2011,94111,92446
2011,94112,72467
2011,94114,111815
2011,94115,72429
2011,94116,83657
2011,94117,85151
2011,94118,74967
2011,94121,77612
2011,94122,79441
2011,94123,104485
2011,94124,46025
2011,94127,138003
2011,94129,118110
2011,94130,35417
2011,94131,92755
2011,94132,69560
2011,94133,50378
2011,94134,57075
2011,94158,68214
2011,94577,62539
2011,94601,36949
2011,94602,71213
2011,94603,39045
2011,94605,54210
2011,94606,37985
2011,94607,34091
2011,94608,52934
2011,94609,47049
2011,94610,71656
2011,94611,100667
2011,94612,26213
2011,94613,
2011,94618,113523
2011,94619,73938
2011,94621,32628
2011,94704,33066
2011,94705,90645
2011,97034,96134
2011,97035,70720
2011,97080,61284
2011,97086,71190
2011,97201,38271
2011,97202,49488
2011,97203,42001
2011,97204,13197
2011,97205,21551
2011,97206,49648
2011,97208,
2011,97209,35618
2011,97210,55973
2011,97211,54939
2011,97212,74859
2011,97213,57437
2011,97214,46453
2011,97215,58361
2011,97216,46523
2011,97217,51451
2011,97218,43436
2011,97219,74841
2011,97220,45858
2011,97221,85201
2011,97222,47690
2011,97223,61559
2011,97225,71526
2011,97227,43696
2011,97229,99382
2011,97230,48152
2011,97231,83367
2011,97232,41832
2011,97233,35661
2011,97236,46655
2011,97239,67213
2011,97266,39000
2014,11201,98775
2014,11203,46630
2014,11204,45593
2014,11205,47050
2014,11206,30686
2014,11207,33816
2014,11208,34527
2014,11209,59934
2014,11210,56052
2014,11211,50943
2014,11212,28146
2014,11213,34804
2014,11214,45838
2014,11215,99040
2014,11216,45566
2014,11217,85199
2014,11218,54441
2014,11219,35083
2014,11220,38052
2014,11221,39785
2014,11222,66610
2014,11223,40873
2014,11224,27011
2014,11225,43543
2014,11226,42182
2014,11228,62821
2014,11229,51985
2014,11230,41820
2014,11231,83383
2014,11232,44583
2014,11233,34432
2014,11234,67713
2014,11235,42257
2014,11236,60135
2014,11237,42496
2014,11238,69491
2014,11239,27886
2014,78610,74550
2014,78613,83146
2014,78617,45040
2014,78641,73535
2014,78652,70868
2014,78653,62415
2014,78660,75138
2014,78664,61673
2014,78681,96086
2014,78701,87306
2014,78702,37690
2014,78703,81903
2014,78704,52306
2014,78705,12786
2014,78712,
2014,78717,99541
2014,78719,38875
2014,78721,36698
2014,78722,54526
2014,78723,42615
2014,78724,36776
2014,78725,65048
2014,78726,68777
2014,78727,69699
2014,78728,49521
2014,78729,60567
2014,78730,108421
2014,78731,79315
2014,78732,128397
2014,78733,127250
2014,78734,92904
2014,78735,81152
2014,78736,86439
2014,78737,122886
2014,78738,127683
2014,78739,130199
2014,78741,31192
2014,78742,35700
2014,78744,41331
2014,78745,52949
2014,78746,128556
2014,78747,62243
2014,78748,68835
2014,78749,84954
2014,78750,73659
2014,78751,41279
2014,78752,37396
2014,78753,39228
2014,78754,53040
2014,78756,63750
2014,78757,60856
2014,78758,44476
2014,78759,70095
2014,94102,24127
2014,94103,41612
2014,94104,80341
2014,94105,170656
2014,94107,120610
2014,94108,36875
2014,94109,63173
2014,94110,84488
2014,94111,103472
2014,94112,71505
2014,94114,122970
2014,94115,85330
2014,94116,84828
2014,94117,103333
2014,94118,82993
2014,94121,70220
2014,94122,86070
2014,94123,121200
2014,94124,49594
2014,94127,131108
2014,94129,144886
2014,94130,38077
2014,94131,100114
2014,94132,66607
2014,94133,53150
2014,94134,60230
2014,94158,83542
2014,94577,64660
2014,94601,39601
2014,94602,68813
2014,94603,40962
2014,94605,57610
2014,94606,37288
2014,94607,34192
2014,94608,55959
2014,94609,56378
2014,94610,73850
2014,94611,107577
2014,94612,30879
2014,94613,
2014,94618,123575
2014,94619,78676
2014,94621,30528
2014,94704,30997
2014,94705,96537
2014,97034,104020
2014,97035,73330
2014,97080,63032
2014,97086,75867
2014,97201,44393
2014,97202,55606
2014,97203,42912
2014,97204,13576
2014,97205,29782
2014,97206,52414
2014,97208,
2014,97209,42936
2014,97210,71949
2014,97211,62938
2014,97212,84100
2014,97213,58176
2014,97214,52440
2014,97215,68016
2014,97216,44919
2014,97217,53704
2014,97218,48448
2014,97219,77598
2014,97220,46908
2014,97221,92174
2014,97222,49558
2014,97223,65109
2014,97225,72010
2014,97227,44342
2014,97229,98303
2014,97230,46237
2014,97231,85481
2014,97232,45671
2014,97233,39150
2014,97236,40907
2014,97239,75302
2014,97266,36772
